@RELATION players

@ATTRIBUTE gp numeric
@ATTRIBUTE age numeric
@ATTRIBUTE min numeric
@ATTRIBUTE fgm numeric
@ATTRIBUTE fga numeric
@ATTRIBUTE ftm numeric
@ATTRIBUTE fta numeric
@ATTRIBUTE reb numeric
@ATTRIBUTE ast numeric
@ATTRIBUTE stl numeric
@ATTRIBUTE blk numeric
@ATTRIBUTE tov numeric
@ATTRIBUTE pts numeric
@ATTRIBUTE season numeric
@ATTRIBUTE fppg numeric

@DATA
50,24,15.9,2.3,6.4,1.1,1.6,1.4,2.2,0.6,0,1.1,6.5,NaN,5.7
59,26,21.8,3.7,9.9,2.1,2.4,1.3,3.9,0.6,0.1,1.7,10.7,NaN,0
41,26,12.9,1.4,2.4,0.4,0.8,4.2,0.4,0.3,0.3,0.8,3.1,NaN,10
51,26,14.2,1.6,3.6,0.9,1.3,1.2,1.6,0.6,0,0.8,4.2,NaN,0
73,31,22.8,3.8,9.2,1.2,1.6,4.5,1.4,0.5,0.1,1.5,10.5,NaN,17
77,25,35.1,6.7,12,1.9,2.4,9.3,3.5,0.8,1,1.5,15.3,NaN,20.3
82,26,35.9,8,16.1,2.7,3.5,9.7,1.8,0.6,1.9,1.3,18.6,NaN,25
71,27,19.5,2.9,6.1,1.5,2,3,0.9,0.5,0.2,0.9,7.4,NaN,0
81,20,17.9,2,5,1.1,1.5,3.3,0.7,0.7,0.3,1.3,5.6,NaN,10.8
34,23,10,1.7,3.9,0.4,0.5,2.3,0.3,0.3,0.6,0.5,4.2,NaN,0
56,24,20,2.2,4.7,1.3,1.6,3.3,0.7,0.7,0.3,1,5.9,NaN,15
78,28,36.8,9.5,19,6.1,7.7,8.2,2.6,0.9,1.9,3.2,25.3,NaN,22.2
72,24,25.7,3.9,6.9,1.8,2.2,6.4,1.1,0.7,1.2,1,9.6,NaN,15.1
31,28,32.1,3.7,7,1.7,2.6,9.7,1.5,0.9,1.2,1.3,9.1,NaN,22.8
64,24,33.9,6.7,15,3.4,4.4,8.2,2.3,1.5,0.8,2.7,16.8,NaN,11.7
67,27,36.8,5,11.3,3.1,4.5,5.8,6.3,1.5,0.6,2.1,14.1,NaN,21.3
81,35,32.7,4.8,10.4,3.1,3.6,3.7,7,1.4,0.1,2.4,12.7,NaN,18.3
66,25,35.7,8,17.8,4.3,5.3,5.2,1.8,0.5,0.7,2.3,21.4,NaN,20.7
64,30,31.2,4,8.5,3.3,4.2,5.1,3,1.3,1.2,1.8,11.7,NaN,0
54,31,17.2,2.2,5.1,0.9,1.1,3.1,0.8,0.3,0.3,0.9,6.1,NaN,1.7
65,26,35.3,5.6,11.4,1.5,3.3,11.1,2,0.7,2.6,1.9,12.8,NaN,20.3
54,23,27.8,4.4,7.6,2.6,3.9,9.4,1.4,0.4,2,1.4,11.3,NaN,29.3
59,25,23.7,2.4,4.5,0.2,0.5,7.2,1,0.9,0.9,1,5,NaN,6.8
5,24,4.8,0.6,1.4,0.2,0.4,0.2,0.6,0.2,0,1.4,1.6,NaN,0
56,35,32.9,6.7,15.6,3.1,4.2,6.7,1.7,0.9,0.5,1.4,18,NaN,17.4
33,36,14,1.4,3.2,0.2,0.2,1.5,2.1,0.8,0.2,1.2,3.3,NaN,4.4
58,25,32,4.8,10.7,1.7,1.8,3,1.2,0.3,0.1,0.9,13.2,NaN,10.8
72,36,29,3.1,7.7,1,1.3,3,3,0.9,0.1,1.1,8.3,NaN,10.1
40,21,14.7,3.1,6.6,1.5,2.2,4,0.8,0.6,0.6,1.3,7.6,NaN,10.5
65,26,21,2.2,4.8,1.6,2,4.5,1.3,0.4,0.4,0.8,6.7,NaN,6.5
7,27,4.5,0.1,1.1,0,0,0.4,0,0.1,0,0.1,0.3,NaN,0
4,36,8.8,0.5,1.3,0.5,0.5,1.3,0.5,0,0,0.3,1.5,NaN,0
73,36,19,2.3,4.7,0.7,1.1,5.4,1.2,0.5,0.5,1,5.3,NaN,0
38,22,7.3,1.2,2.7,0.3,0.6,0.9,1.2,0.1,0,1,2.9,NaN,6.6
69,25,33.7,4.5,9.1,2,2.4,3.6,2.4,0.5,0.4,1,12.6,NaN,16.2
72,23,20.1,2.7,6.5,1.1,1.5,3.8,1.1,0.5,0.5,0.8,7.5,NaN,5.8
31,20,5.2,0.7,2.2,0.2,0.4,0.5,0.4,0.3,0,0.5,1.7,NaN,9.3
58,32,28.4,5,11.9,1.7,2.3,2.7,6.7,1.3,0.5,2.5,13.1,NaN,12.3
82,28,26,4.1,9.4,1.7,2,2.4,2.1,0.6,0.2,1.7,11.2,NaN,14.3
42,23,10.4,1.5,3.4,0.8,1.3,1.5,1.6,0.3,0.2,0.6,3.8,NaN,9.8
54,36,22.9,1.2,2.8,0.4,1.1,6.5,1.3,1,1,0.8,2.9,NaN,7.2
79,28,34.6,5.2,10.4,2.5,2.9,3.4,4.9,1.2,0.1,1.8,13.7,NaN,10
